inner_code;name;name_eng;adm_code;iata;icao
ЕТМ;Елатьма; ;РЯ; ; 
ЕЛЦ;Елец; ;ЛП; ; 
ЕЛЗ;Елизарово; ;ТЮ; ; 
ЕЦВ;Ельцовка; ;АЛ; ; 
ЕЛЮ;Елюга; ;АГ; ; 
ЕМЬ;Емва; ;КИ; ;UUYM
ЕНС;Енисейск;Eniseysk;КЯ;EIE;UNII
ЕРУ;Ерахтур; ;РЯ; ; 
ЕГЧ;Ербогачен; ;ИР; ;UIKE
ЕРН;Еремино; ;СД; ; 
ЕРЦ;Ермица; ;КИ; ; 
ЕРМ;Ермишь; ;РЯ; ; 
ЕЛО;Ермолино; ;КЖ; ;UUWE
ЕРШ;Ершов; ;СГ; ; 
ЕСИ;Ессей; ;КЯ; ;UNIE
ЕСН;Ессентуки; ;СП; ;URME
ЖЛН;Железноводск; ;СП; ; 
ЖЕЗ;Железногорск; ;ИР; ;UIBV
ЖЛГ;Железногорск [УГЦ]; ;КУ; ; 
ЖВК;Жердевка; ;ТБ; ; 
ЖШР;Жешарт; ;КИ; ; 
ЖЛВ;Жигалово; ;ИР; ;UIIV
ЖИГ;Жиганск; ;СФ; ;UEVV
ЖГЛ;Жигулевск; ;СБ; ; 
ЖИЛ;Жилинда; ;СФ; ; 
ЖИР;Жирновск; ;ВГ; ; 
ЗАВ;Заветное; ;РД; ;URRY
ЗВТ;Завитинск; ;АУ; ; 
ЗДН;Задонск; ;ЛП; ; 
ЗСК;Заинск; ;ТГ; ; 
ЗРЕ;Зайцева Речка; ;ТЮ; ; 
ЗКМ;Закаменск; ;БР; ;UIIG
ЗЛА;Залив Лаврентия; ;ЧА; ;UHML
ЗМЖ;Замежный; ;КИ; ; 
ЗМС;Заморский; ;ИР; ; 
ЗЗР;Заозерный; ;КЯ; ;УНЯЫ
ЗХВ;Захар-Вань; ;КИ; ; 
ЗДВ;Здвинск; ;НБ; ; 
ЗЛВ;Зеледеево; ;КЯ; ; 
ЗЕН;Зенково; ;ТЮ; ; 
ЗЕЯ;Зея; ;АУ; ;UHBE
ЗИЛ;Зилаир; ;БШ; ; 
ЗИМ;Зима; ;ИР; ; 
ЗМН;Зимний; ;СД; ; 
ЗМВ;Зимовники; ;РД; ; 
ЗМТ;Зимстан; ;КИ; ; 
ЗВС;Златоустовск; ;АУ; ; 
ЗМГ;Змеиногорск; ;АЛ; ; 
ЗНС;Знаменское; ;ОЯ; ; 
ЗОН;Зональное; ;СЯ; ;UHSO
ЗОТ;Зотино; ;КЯ; ;UNHZ
ЗНК;Зырянка; ;СФ; ;UESU
ИВВ;Иваново;Ivanovo;ИВ;IWA;UUBI
ИВТ;Ивантеевка; ;МС; ; 
ИВШ;Ивашка; ;КЧ; ; 
ИВД;Ивдель; ;СД; ;USSI
ИГР;Игарка;Igarka;КЯ;IAA;UOII
ИРМ;Игрим; ;ТЮ; ;USHI
ИДР;Идринское; ;КЯ; ; 
ИЖВ;Ижевск;Izhevsk;УД;IJK;USII
ИЖМ;Ижма; ;КИ; ;UUYV
ИКЯ;Ика; ;ИР; ; 
ИЛИ;Илирней; ;ЧА; ; 
ИПР;Ильпырский; ;КЧ; ; 
ИНГ;Индига; ;АГ; ;ULEI
ИНХ;Иннах; ;ЧА; ; 
ИНЛ;Иннялы; ;СФ; ; 
ИНС;Инсар; ;МД; ; 
ИНТ;Инта;Inta;КИ;INA;UUYI
ИНЧ;Инчоун; ;ЧА; ; 
ИНЯ;Иня; ;ХБ; ; 
ИБА;Ирба; ;КЯ; ; 
ИБК;Ирбейское; ;КЯ; ; 
ИРБ;Ирбит; ;СД; ; 
ИКТ;Иркутск;Irkutsk;ИР;IKT;UIII
ИКА;Иркутск [агентство 01ИКА]; ; ; ; 
ИКБ;Иркутск [агентство 01ИКБ]; ; ; ; 
ИТА;Итака; ;ЧТ; ; 
ИЛТ;Иультин; ;ЧА; ; 
ИЧА;Ича; ;КЧ; ; 
ИШМ;Ишим; ;ТЮ; ;USTM
ИШО;Йошкар-Ола;Joshkar-Ola;МИ;JOK;UWKJ
КАВ;Кавалерово; ;ПР; ;UHWK
КАД;Кадом; ;РЯ; ; 
КДИ;Кадый; ;КФ; ; 
КЗН;Казань;Kazan;ТГ;KZN; 
КЗЧ;Казачинск; ;ИР; ; 
КЧС;Казачинское; ;КЯ; ; 
КЗЫ;Казым; ;ТЮ; ; 
КЛЧ;Калач; ;ВЖ; ; 
КАГ;Калга; ;ЧТ; ;UIAG
КАЛ;Калевала; ;КЛ; ;ULPK
КАЭ;Каликино; ;ОБ; ;UWOK
КЛД;Калининград;Kaliningrad;КГ;KGD;UMKK
КИИ;Калинино; ;НЖ; ; 
КЛГ;Калуга;Kaluga;КЖ;KLF;UUBC
КМЯ;Кама; ;ТЮ; ; 
ККЯ;Каменка [АРХ]; ;АГ; ;ULBK
КЕЫ;Каменный; ;ТЮ; ; 
КДУ;Каменское; ;КЧ; ;UHPZ
КМУ;Каменск-Уральский; ;СД; ; 
КНО;Камень-на-Оби; ;АЛ; ;UNBK
КМЗ;Камзас; ;КЗ; ; 
КУТ;Камское Устье; ;ТГ; ; 
КМШ;Камышин; ;ВГ; ;URWK
КНЫ;Канава; ;КИ; ; 
